town,county,lat,lon
hele,devon,50.51,-3.77
helebridge,cornwall,50.79,-4.54
helford,cornwall,50.09,-5.14
helford passage,cornwall,50.09,-5.13
helham green,hertfordshire,51.81,0.01
helhoughton,norfolk,52.79,0.75
helions bumpstead,essex,52.04,0.4
hellaby,rotherham,53.42,-1.24
helland,somerset,51.01,-2.97
helland,cornwall,50.49,-4.72
hellandbridge,cornwall,50.50,-4.73
hell corner,berkshire,51.37,-1.45
hellesdon,norfolk,52.66,1.25
hellesveor,cornwall,50.20,-5.5
hellidon,northamptonshire,52.21,-1.25
hellifield,north yorkshire,54.00,-2.23
hellifield green,north yorkshire,54.00,-2.23
hellingly,east sussex,50.88,0.24
hellington,norfolk,52.57,1.4
hellman's cross,essex,51.83,0.29
helm,north yorkshire,54.31,-2.1
helmdon,northamptonshire,52.08,-1.15
helmingham,suffolk,52.16,1.18
helmington row,durham,54.71,-1.72
helmshore,lancashire,53.68,-2.33
helmside,cumbria,54.28,-2.49
helmsley,north yorkshire,54.24,-1.06
helperby,north yorkshire,54.11,-1.34
helperthorpe,north yorkshire,54.11,-0.54
helpringham,lincolnshire,52.94,-0.31
helpston,cambridgeshire,52.63,-0.34
helsby,cheshire,53.26,-2.78
helscott,cornwall,50.79,-4.54
helsey,lincolnshire,53.22,0.26
helston,cornwall,50.09,-5.27
helstone,cornwall,50.59,-4.71
helston water,cornwall,50.22,-5.11
helton,cumbria,54.59,-2.75
helwith bridge,north yorkshire,54.11,-2.29
hemblington,norfolk,52.64,1.45
hemblington corner,norfolk,52.64,1.44
hembridge,somerset,51.12,-2.58
hemel hempstead,hertfordshire,51.75,-0.46
hemerdon,devon,50.39,-4.02
hemford,shropshire,52.59,-3.0
hemingbrough,north yorkshire,53.76,-0.98
hemingby,lincolnshire,53.24,-0.15
hemingfield,barnsley,53.50,-1.41
hemingford abbots,cambridgeshire,52.31,-0.13
hemingford grey,cambridgeshire,52.31,-0.1
hemingstone,suffolk,52.13,1.14
hemington,northamptonshire,52.45,-0.39
hemington,somerset,51.27,-2.4
hemington,leicestershire,52.84,-1.33
hemley,suffolk,52.02,1.32
hemlington,middlesbrough,54.51,-1.24
hemp green,suffolk,52.26,1.47
hempnall,norfolk,52.49,1.29
hempnall green,norfolk,52.48,1.29
hemp's green,essex,51.92,0.77
hempshill vale,nottinghamshire,52.99,-1.22
hempstead,essex,52.01,0.37
hempstead,kent,51.34,0.56
hempstead,norfolk,52.88,1.12
hempstead,norfolk,52.79,1.55
hempsted,gloucestershire,51.84,-2.27
hempton,oxfordshire,51.97,-1.36
hempton,norfolk,52.82,0.83
hempton wainhill,oxfordshire,51.70,-0.9
hemsby,norfolk,52.69,1.68
hemsted,kent,51.12,1.05
hemswell,lincolnshire,53.40,-0.61
hemswell cliff,lincolnshire,53.38,-0.57
hemsworth,dorset,50.84,-2.05
hemsworth,wakefield,53.61,-1.36
hemsworth,sheffield,53.34,-1.46
hemyock,devon,50.91,-3.23
henaford,devon,50.93,-4.5
henbrook,hereford and worcester,52.29,-2.11
henbury,dorset,50.78,-2.07
henbury,city of bristol,51.49,-2.63
henbury,cheshire,53.25,-2.18
hendon,barnet,51.58,-0.22
hendon,sunderland,54.88,-1.37
hendra,cornwall,50.61,-4.7
hendra,cornwall,50.44,-4.84
hendra,cornwall,50.09,-5.37
hendra,cornwall,50.13,-5.23
hendra,cornwall,50.37,-4.88
hendra,cornwall,50.18,-5.19
hendra,cornwall,50.00,-5.21
hendrabridge,cornwall,50.45,-4.45
hendraburnick,cornwall,50.65,-4.66
hendra croft,cornwall,50.35,-5.1
hendre-ddu,conwy,53.17,-3.69
henfield,west sussex,50.93,-0.27
henford,devon,50.72,-4.32
henfords marsh,wiltshire,51.18,-2.18
hengistbury head,dorset,50.71,-1.74
hengoed,shropshire,52.88,-3.07
hengrave,suffolk,52.28,0.66
hengrave,norfolk,52.72,1.15
hengrove,city of bristol,51.40,-2.57
hengrove park,city of bristol,51.40,-2.59
henham,essex,51.92,0.23
henlade,somerset,51.00,-3.05
henleaze,city of bristol,51.48,-2.6
henley,somerset,51.08,-2.81
henley,west sussex,51.01,-0.73
henley,dorset,50.83,-2.44
henley,shropshire,52.48,-2.81
henley,shropshire,52.38,-2.67
henley,suffolk,52.11,1.13
henley,gloucestershire,51.84,-2.14
henley,wiltshire,51.40,-2.26
henley,wiltshire,51.32,-1.54
henley common,west sussex,51.02,-0.74
henley green,coventry,52.42,-1.47
henley-in-arden,warwickshire,52.28,-1.78
henley-on-thames,oxfordshire,51.53,-0.9
henley's down,east sussex,50.88,0.45
henley street,kent,51.37,0.38
henlle,shropshire,52.89,-3.01
henlow,bedfordshire,52.02,-0.29
hennock,devon,50.61,-3.65
henny street,essex,52.00,0.72
henryd,conwy,53.24,-3.84
hensall,north yorkshire,53.70,-1.1
henshaw,northumberland,54.97,-2.37
henshaw,bradford,53.85,-1.69
hensingham,cumbria,54.52,-3.57
hensington,oxfordshire,51.84,-1.34
henstead,suffolk,52.40,1.65
hensting,hampshire,50.98,-1.3
henstridge,devon,51.17,-4.03
henstridge,somerset,50.96,-2.4
henstridge ash,somerset,50.97,-2.4
henstridge bowden,somerset,50.97,-2.44
henstridge marsh,somerset,50.97,-2.37
henton,somerset,51.20,-2.73
henton,oxfordshire,51.71,-0.9
henwood,cornwall,50.53,-4.45
henwood,oxfordshire,51.71,-1.33
henwood green,kent,51.13,0.32
hepburn,northumberland,55.51,-1.9
hepple,northumberland,55.29,-2.03
hepscott,northumberland,55.15,-1.65
hepthorne lane,derbyshire,53.17,-1.4
hepworth,suffolk,52.32,0.9
hereford,hereford and worcester,52.05,-2.71
hermitage,dorset,50.86,-2.51
hermitage,west sussex,50.83,-0.93
hermitage,berkshire,51.45,-1.26
hermitage green,cheshire,53.44,-2.6
hermit hill,barnsley,53.49,-1.51
hermit hole,bradford,53.84,-1.92
herne,kent,51.35,1.12
herne bay,kent,51.36,1.11
herne common,kent,51.34,1.11
herne hill,lambeth,51.44,-0.1
herne pound,kent,51.26,0.36
hernhill,kent,51.30,0.95
herniss,cornwall,50.16,-5.18
herodsfoot,cornwall,50.41,-4.52
heronden,kent,51.23,1.27
herongate,essex,51.59,0.33
heronsgate,hertfordshire,51.63,-0.52
heron's ghyll,east sussex,51.01,0.1
herriard,hampshire,51.20,-1.05
herringfleet,suffolk,52.51,1.65
herring's green,bedfordshire,52.08,-0.42
herringswell,suffolk,52.29,0.5
herringthorpe,rotherham,53.42,-1.33
hersden,kent,51.31,1.15
hersham,cornwall,50.83,-4.48
hersham,surrey,51.36,-0.4
herstmonceaux,east sussex,50.88,0.31
herston,dorset,50.60,-1.98
hertford,north yorkshire,54.21,-0.46
hertford,hertfordshire,51.79,-0.08
hertford heath,hertfordshire,51.78,-0.04
hertingfordbury,hertfordshire,51.79,-0.11
hesketh bank,lancashire,53.70,-2.86
hesketh lane,lancashire,53.86,-2.59
hesketh moss,lancashire,53.69,-2.86
hesket newmarket,cumbria,54.73,-3.04
heskin green,lancashire,53.62,-2.71
hesleden,durham,54.73,-1.31
heslington,york,53.94,-1.05
hessay,york,53.97,-1.2
hessenford,cornwall,50.38,-4.39
hessett,suffolk,52.21,0.82
hessle,wakefield,53.64,-1.35
hest bank,lancashire,54.08,-2.81
hester's way,gloucestershire,51.90,-2.11
heston,hounslow,51.48,-0.38
hethe,oxfordshire,51.95,-1.14
hethel,norfolk,52.55,1.19
hethelpit cross,gloucestershire,51.95,-2.33
hethersett,norfolk,52.59,1.17
hethersgill,cumbria,54.99,-2.83
hetherside,cumbria,54.98,-2.89
hetherson green,cheshire,53.03,-2.71
hett,durham,54.71,-1.56
hetton,north yorkshire,54.01,-2.06
hetton downs,sunderland,54.82,-1.45
hetton-le-hill,durham,54.79,-1.45
hetton-le-hole,sunderland,54.81,-1.45
heugh,northumberland,55.05,-1.87
heveningham,suffolk,52.29,1.41
hever,kent,51.17,0.1
heversham,cumbria,54.24,-2.78
hevingham,norfolk,52.74,1.24
hewas water,cornwall,50.30,-4.86
hewelsfield,gloucestershire,51.71,-2.63
hewelsfield common,gloucestershire,51.71,-2.66
hewer hill,cumbria,54.73,-2.97
hew green,north yorkshire,54.01,-1.65
hewish,somerset,50.86,-2.82
hewood,dorset,50.81,-2.92
heworth,gateshead,54.94,-1.56
heworth,york,53.96,-1.07
hexden channel,kent,51.04,0.55
hexham,northumberland,54.96,-2.11
hextable,kent,51.40,0.16
hexthorpe,doncaster,53.51,-1.15
hexton,hertfordshire,51.95,-0.4
hexworthy,devon,50.53,-3.9
hey,lancashire,53.88,-2.18
heybridge,essex,51.74,0.67
heybridge,essex,51.65,0.35
heybridge basin,essex,51.73,0.7
heybrook bay,devon,50.31,-4.12
heydon,cambridgeshire,52.04,0.08
heydon,norfolk,52.79,1.12
heydour,lincolnshire,52.93,-0.51
hey houses,lancashire,53.75,-3.0
heysham,lancashire,54.04,-2.9
heyshaw,north yorkshire,54.04,-1.74
heyshott,west sussex,50.95,-0.73
heyshott green,west sussex,50.95,-0.73
heyside,oldham,53.55,-2.1
heytesbury,wiltshire,51.17,-2.11
heythrop,oxfordshire,51.94,-1.49
heywood,wiltshire,51.27,-2.18
heywood,rochdale,53.58,-2.22
hibb's green,suffolk,52.14,0.73
hickford hill,essex,52.06,0.59
hickleton,doncaster,53.53,-1.27
hickling,norfolk,52.75,1.57
hickling,nottinghamshire,52.85,-0.97
hickling green,norfolk,52.75,1.55
hickling heath,norfolk,52.74,1.55
hickling pastures,nottinghamshire,52.84,-1.02
hickmans green,kent,51.28,0.95
hicks forstal,kent,51.32,1.12
hicks gate,city of bristol,51.41,-2.53
hick's mill,cornwall,50.21,-5.14
hickstead,west sussex,50.96,-0.2
hidcote bartrim,gloucestershire,52.07,-1.75
hidcote boyce,gloucestershire,52.06,-1.75
hifnal,shropshire,52.58,-2.44
higginshaw,oldham,53.55,-2.1
high ackworth,wakefield,53.64,-1.33
higham,suffolk,52.25,0.54
higham,suffolk,51.97,0.95
higham,kent,51.41,0.45
higham,lancashire,53.82,-2.3
higham,barnsley,53.55,-1.53
higham,derbyshire,53.12,-1.41
higham common,barnsley,53.55,-1.53
higham ferrers,northamptonshire,52.30,-0.59
higham gobion,bedfordshire,51.97,-0.39
higham on the hill,leicestershire,52.55,-1.44
highampton,devon,50.81,-4.15
higham wood,kent,51.20,0.28
high angerton,northumberland,55.15,-1.86
high bankhill,cumbria,54.77,-2.68
high barn,lincolnshire,53.15,0.03
high barnet,barnet,51.64,-0.2
high beach,essex,51.65,0.02
high bentham,north yorkshire,54.11,-2.52
high bickington,devon,50.96,-4.0
high biggins,cumbria,54.19,-2.61
high birstwith,north yorkshire,54.01,-1.66
high bonnybridge,falkirk,55.99,-3.87
high bradfield,sheffield,53.42,-1.61
high bradley,north yorkshire,53.93,-2.0
high bray,devon,51.09,-3.87
highbridge,somerset,51.21,-2.97
highbridge,hampshire,50.98,-1.33
highbridge,cumbria,54.77,-2.94
highbridge,walsall,52.63,-1.97
highbrook,west sussex,51.05,-0.06
high brooms,kent,51.14,0.27
high brotheridge,gloucestershire,51.81,-2.16
high bullen,devon,50.96,-4.09
highbury,somerset,51.23,-2.44
highbury,islington,51.54,-0.11
highbury vale,nottinghamshire,52.99,-1.19
high buston,northumberland,55.36,-1.63
high callerton,northumberland,55.02,-1.75
high cark,cumbria,54.23,-2.95
high casterton,cumbria,54.19,-2.58
high church,northumberland,55.15,-1.7
highclere,hampshire,51.33,-1.38
highcliffe,dorset,50.73,-1.7
highcliffe,derbyshire,53.28,-1.68
high cogges,oxfordshire,51.77,-1.46
high common,norfolk,52.60,0.93
high coniscliffe,north yorkshire,54.53,-1.66
high crompton,oldham,53.57,-2.12
high cross,hampshire,51.02,-0.98
high cross,east sussex,51.03,0.22
high cross,west sussex,50.93,-0.23
high cross,cornwall,50.10,-5.16
high cross,warwickshire,52.30,-1.72
high cross,cambridgeshire,52.21,0.07
high cross,hertfordshire,51.84,-0.02
high cross,hertfordshire,51.66,-0.35
high cunsey,cumbria,54.33,-2.95
high curley,surrey,51.34,-0.69
high dubmire,durham,54.83,-1.5
high dyke,durham,54.62,-2.07
high easter,essex,51.80,0.34
high eggborough,north yorkshire,53.69,-1.13
high ellington,north yorkshire,54.24,-1.7
higher alham,somerset,51.16,-2.47
higher ansty,dorset,50.82,-2.34
higher ashton,devon,50.64,-3.62
higher audley,lancashire,53.73,-2.47
higher bal,cornwall,50.30,-5.23
higher ballam,lancashire,53.76,-2.98
higher bartle,lancashire,53.79,-2.76
higher berry end,bedfordshire,51.99,-0.57
higher blackley,manchester,53.53,-2.24
higher boarshaw,rochdale,53.55,-2.19
higher bockhampton,dorset,50.72,-2.39
higher boscaswell,cornwall,50.14,-5.66
higher brixham,devon,50.38,-3.52
higher broughton,salford,53.49,-2.27
higher burrow,somerset,50.97,-2.85
higher burrowtown,devon,50.76,-3.41
higher burwardsley,cheshire,53.09,-2.71
high ercall,shropshire,52.74,-2.6
higher chalmington,dorset,50.80,-2.58
higher cheriton,devon,50.79,-3.27
higher chillington,somerset,50.88,-2.88
higher chisworth,stockport,53.41,-2.01
highercliff,cornwall,50.38,-4.47
higher clovelly,devon,50.98,-4.4
higher condurrow,cornwall,50.20,-5.28
higher crackington,cornwall,50.72,-4.62
higher cransworth,cornwall,50.47,-4.87
higher croft,lancashire,53.72,-2.48
higher denham,buckinghamshire,51.57,-0.52
higher dinting,derbyshire,53.44,-1.97
higher disley,cheshire,53.35,-2.04
higher downs,cornwall,50.11,-5.42
higher durston,somerset,51.04,-3.02
higher end,wigan,53.52,-2.72
higher eype,dorset,50.72,-2.79
higher folds,wigan,53.49,-2.48
higherford,lancashire,53.85,-2.21
higher gabwell,devon,50.51,-3.52
higher green,wigan,53.49,-2.45
higher halstock leigh,dorset,50.86,-2.69
higher heysham,lancashire,54.03,-2.9
higher hogshead,lancashire,53.69,-2.18
higher holton,somerset,51.04,-2.45
higher hurdsfield,cheshire,53.26,-2.1
higher kingcombe,dorset,50.78,-2.65
higher marsh,somerset,50.97,-2.38
higher melcombe,dorset,50.81,-2.37
higher menadew,cornwall,50.39,-4.77
higher metcombe,devon,50.72,-3.33
higher molland,devon,51.08,-3.85
higher muddiford,devon,51.12,-4.07
higher nyland,somerset,50.99,-2.38
higher penwortham,lancashire,53.74,-2.74
higher pertwood,wiltshire,51.11,-2.17
higher porthpean,cornwall,50.31,-4.78
higher poynton,cheshire,53.34,-2.09
higher prestacott,devon,50.74,-4.28
higher rads end,bedfordshire,51.97,-0.55
higher ridge,shropshire,52.89,-2.96
higher rocombe barton,devon,50.50,-3.53
higher row,dorset,50.83,-1.94
higher runcorn,cheshire,53.33,-2.73
higher sandford,dorset,50.97,-2.54
higher shurlach,cheshire,53.24,-2.49
higher slade,devon,51.19,-4.14
higher street,somerset,51.17,-3.24
higher tale,devon,50.80,-3.33
higher tolcarne,cornwall,50.44,-4.98
higher totnell,dorset,50.87,-2.54
higher town,somerset,51.20,-3.49
highertown,cornwall,50.59,-4.65
highertown,cornwall,50.25,-5.08
higher town,cornwall,50.41,-4.81
higher tremarcoombe,cornwall,50.49,-4.46
higher vexford,somerset,51.10,-3.28
higher walton,lancashire,53.73,-2.65
higher walton,cheshire,53.36,-2.61
higher wambrook,somerset,50.86,-3.01
higher warcombe,devon,51.18,-4.19
higher weaver,devon,50.82,-3.35
higher whatcombe,dorset,50.80,-2.24
higher wheelton,lancashire,53.69,-2.59
higher whitley,cheshire,53.31,-2.58
higher wincham,cheshire,53.28,-2.48
higher woodsford,dorset,50.70,-2.34
higher wraxall,dorset,50.80,-2.62
high etherley,durham,54.64,-1.75
high ferry,lincolnshire,53.02,0.01
highfield,oxfordshire,51.90,-1.17
highfield,hertfordshire,51.76,-0.46
highfield,gloucestershire,51.72,-2.52
highfield,gateshead,54.91,-1.78
high field,lancashire,53.96,-2.42
highfield,sheffield,53.36,-1.47
highfield,wigan,53.52,-2.68
highfield,bolton,53.54,-2.43
highfields,cambridgeshire,52.20,-0.02
highfields,essex,51.82,0.69
highfields,gloucestershire,51.67,-2.34
highfields,doncaster,53.54,-1.2
highfields,derbyshire,53.18,-1.37
highfields,staffordshire,52.78,-2.13
highfields,northumberland,55.77,-2.01
high forge,durham,54.88,-1.65
high friarside,durham,54.89,-1.75
high garrett,essex,51.90,0.57
highgate,east sussex,51.08,0.02
highgate,kent,51.04,0.5
highgate,birmingham,52.46,-1.89
highgate,barnsley,53.52,-1.32
high grange,durham,54.67,-1.73
high green,shropshire,52.44,-2.44
high green,suffolk,52.20,0.7
high green,hereford and worcester,52.10,-2.19
high green,cumbria,54.41,-2.91
high green,sheffield,53.46,-1.5
high green,norfolk,52.60,1.14
high green,norfolk,52.62,0.85
high green,norfolk,52.68,0.83
high halden,kent,51.10,0.69
high halstow,kent,51.44,0.56
high ham,somerset,51.07,-2.82
high handenhold,durham,54.87,-1.64
high harrington,cumbria,54.61,-3.55
high harrogate,north yorkshire,53.99,-1.52
high haswell,durham,54.78,-1.44
high hatton,shropshire,52.81,-2.58
high hauxley,northumberland,55.32,-1.57
high hawsker,north yorkshire,54.45,-0.58
high heath,walsall,52.61,-1.95
high heath,shropshire,52.83,-2.47
high hesket,cumbria,54.78,-2.82
high hesleden,durham,54.73,-1.3
high hill,cumbria,54.59,-3.16
high houses,essex,51.79,0.43
high hoyland,barnsley,53.58,-1.59
high hurstwood,east sussex,51.01,0.12
high hutton,north yorkshire,54.10,-0.85
high ireby,cumbria,54.72,-3.21
high kelling,norfolk,52.91,1.12
high kilburn,north yorkshire,54.20,-1.21
highlands,dorset,50.71,-2.78
high lane,hereford and worcester,52.23,-2.48
high lane,stockport,53.36,-2.07
highlane,derbyshire,53.33,-1.4
highlane,cheshire,53.20,-2.18
highlanes,cornwall,50.51,-4.96
high lanes,cornwall,50.18,-5.41
highlanes,staffordshire,52.88,-2.31
high laver,essex,51.75,0.2
highlaws,cumbria,54.82,-3.34
highleadon,gloucestershire,51.90,-2.35
high legh,cheshire,53.34,-2.45
highleigh,west sussex,50.77,-0.8
high leven,stockton-on-tees,54.50,-1.32
highley,shropshire,52.44,-2.38
high longthwaite,cumbria,54.80,-3.16
high lorton,cumbria,54.61,-3.3
high marishes,north yorkshire,54.19,-0.75
high marnham,nottinghamshire,53.22,-0.8
high melton,doncaster,53.50,-1.24
high mickley,northumberland,54.94,-1.89
highmoor,oxfordshire,51.55,-0.99
highmoor,cumbria,54.81,-3.16
high moor,lancashire,53.59,-2.75
high moor,derbyshire,53.31,-1.31
high moor,derbyshire,53.31,-1.31
highmoor brook,oxfordshire,51.71,-1.55
highmoor cross,oxfordshire,51.55,-1.0
high moorsley,durham,54.79,-1.48
highnam,gloucestershire,51.86,-2.3
highnam green,gloucestershire,51.87,-2.3
high nash,gloucestershire,51.78,-2.62
high newton,cumbria,54.23,-2.92
high newton-by-the-sea,northumberland,55.51,-1.63
high nibthwaite,cumbria,54.29,-3.09
highoak,norfolk,52.55,1.05
high oaks,cumbria,54.31,-2.58
high offley,staffordshire,52.83,-2.32
high ongar,essex,51.70,0.25
high onn,staffordshire,52.74,-2.26
high onn wharf,staffordshire,52.74,-2.25
high park,cumbria,54.30,-2.72
high park,sefton,53.64,-2.96
high peak,derbyshire,53.39,-1.82
high roding,essex,51.82,0.32
high rougham,suffolk,52.22,0.8
high row,cumbria,54.58,-2.97
high row,cumbria,54.70,-3.01
high salvington,west sussex,50.84,-0.41
high scales,cumbria,54.79,-3.27
high sellafield,cumbria,54.42,-3.51
high shaw,north yorkshire,54.31,-2.21
high shincliffe,durham,54.75,-1.55
high side,cumbria,54.65,-3.19
high southwick,sunderland,54.92,-1.4
high spen,gateshead,54.92,-1.79
high stakesby,north yorkshire,54.47,-0.64
highstead,kent,51.35,1.17
highsted,kent,51.31,0.73
high stoop,durham,54.75,-1.84
high street,kent,51.04,0.48
high street,cornwall,50.34,-4.86
high street,suffolk,52.40,1.46
high street,suffolk,52.27,1.53
high street,suffolk,52.14,1.55
highstreet,kent,51.31,0.98
highstreet green,surrey,51.10,-0.6
high street green,suffolk,52.15,0.92
highstreet green,essex,51.97,0.56
highter's heath,birmingham,52.40,-1.88
high throston,hartlepool,54.69,-1.25
hightown,hampshire,50.83,-1.77
hightown,hampshire,50.89,-1.33
high town,shropshire,52.53,-2.42
high town,luton,51.87,-0.41
hightown,sefton,53.51,-3.07
hightown,cheshire,53.15,-2.19
high town,staffordshire,52.70,-2.03
hightown green,suffolk,52.16,0.87
high toynton,lincolnshire,53.20,-0.08
high trewhitt,northumberland,55.33,-2.0
high urpeth,durham,54.87,-1.64
high walton,cumbria,54.49,-3.57
high warden,northumberland,54.99,-2.14
high water head,cumbria,54.37,-3.06
highway,somerset,50.97,-2.77
highway,cornwall,50.24,-5.21
highway,hereford and worcester,52.13,-2.8
highway,berkshire,51.52,-0.76
highway,wiltshire,51.46,-1.94
highweek,devon,50.53,-3.63
high westwood,durham,54.89,-1.83
high whinnow,cumbria,54.84,-3.09
highwood,devon,50.84,-3.22
highwood,dorset,50.66,-2.19
highwood,hampshire,50.86,-1.75
highwood,hereford and worcester,52.29,-2.51
highwood,essex,51.71,0.37
highwood hill,barnet,51.62,-0.23
high woolaston,gloucestershire,51.68,-2.62
high worsall,north yorkshire,54.47,-1.41
highworth,swindon,51.62,-1.71
highworthy,devon,50.85,-4.21
high wray,cumbria,54.38,-2.97
high wych,hertfordshire,51.80,0.11
high wycombe,buckinghamshire,51.62,-0.75
hilborough,norfolk,52.56,0.68
hilcot,gloucestershire,51.84,-2.01
hilcote,derbyshire,53.11,-1.32
hilcot end,gloucestershire,51.71,-1.9
hilcott,wiltshire,51.32,-1.84
hildenborough,kent,51.21,0.23
hilden park,kent,51.20,0.24
hildersham,cambridgeshire,52.10,0.24
hildersley,hereford and worcester,51.91,-2.56
hilderstone,staffordshire,52.90,-2.09
hilfield,dorset,50.83,-2.52
hilgay,norfolk,52.55,0.38
hill,warwickshire,52.29,-1.34
hill,birmingham,52.58,-1.83
hillam,north yorkshire,53.74,-1.24
hillborough,kent,51.35,1.15
hill bottom,oxfordshire,51.50,-1.07
hillbourne,poole,50.74,-2.0
hill brow,west sussex,51.02,-0.87
hillbutts,dorset,50.80,-2.01
hill chorlton,staffordshire,52.94,-2.31
hillcliffe,cheshire,53.36,-2.58
hillclifflane,derbyshire,53.01,-1.56
hillcommon,somerset,51.02,-3.22
hill common,norfolk,52.74,1.56
hill corner,somerset,51.23,-2.28
hill croome,hereford and worcester,52.05,-2.17
hill dale,lancashire,53.60,-2.77
hill deverill,wiltshire,51.15,-2.2
hilldyke,lincolnshire,53.00,00.00
hill end,somerset,50.89,-2.71
hillend,shropshire,52.54,-2.29
hill end,hereford and worcester,52.26,-2.14
hill end,gloucestershire,52.03,-2.14
hill end,hertfordshire,51.60,-0.49
hill end,durham,54.71,-1.98
hill end,north yorkshire,53.98,-1.86
hillend green,gloucestershire,51.94,-2.43
hillersland,gloucestershire,51.82,-2.63
hillerton,devon,50.76,-3.81
hillesden,buckinghamshire,51.94,-1.01
hillesden hamlet,buckinghamshire,51.96,-1.02
hillesley,gloucestershire,51.59,-2.34
hillfarrance,somerset,51.00,-3.19
hillfield,devon,50.34,-3.64
hillfield,solihull,52.40,-1.79
hillfields,coventry,52.40,-1.5
hillfields,city of bristol,51.47,-2.51
hillfoot,leeds,53.79,-1.69
hillfoot end,bedfordshire,51.99,-0.37
hill furze,hereford and worcester,52.13,-2.01
hill gate,hereford and worcester,51.93,-2.74
hill green,essex,51.96,0.15
hillgreen,berkshire,51.48,-1.35
hill green,kent,51.32,0.62
hillgrove,west sussex,51.04,-0.66
hillhampton,hereford and worcester,52.11,-2.61
hill head,hampshire,50.81,-1.23
hillhead,devon,50.36,-3.54
hillhead,cornwall,50.40,-4.68
hill hoath,kent,51.17,0.13
hill hook,birmingham,52.59,-1.85
hill houses,shropshire,52.40,-2.54
hilliard's cross,staffordshire,52.69,-1.77
hillingdon heath,hillingdon,51.52,-0.45
hillington,norfolk,52.79,0.53
hillis corner,isle of wight,50.73,-1.33
hillmoor,devon,50.90,-3.28
hillmorton,warwickshire,52.35,-1.22
hillock vale,lancashire,53.75,-2.36
hill of drip,stirling,56.13,-3.99
hill park,hampshire,50.86,-1.21
hill park,kent,51.27,0.04
hillpool,hereford and worcester,52.38,-2.16
hillpound,hampshire,50.93,-1.17
hill ridware,staffordshire,52.75,-1.89
hillsborough,sheffield,53.40,-1.52
hill side,hampshire,51.03,-0.88
hillside,hampshire,51.24,-0.92
hillside,devon,50.83,-3.18
hillside,devon,50.42,-3.83
hillside,shropshire,52.47,-2.6
hill side,hereford and worcester,52.24,-2.36
hillside,wiltshire,51.62,-1.91
hill side,barnsley,53.51,-1.66
hillside,sefton,53.61,-3.02
hill somersal,derbyshire,52.90,-1.79
hills town,derbyshire,53.21,-1.28
hill street,kent,51.16,1.01
hillstreet,hampshire,50.94,-1.51
hill top,west sussex,50.97,-0.74
hill top,hampshire,50.82,-1.43
hill top,warwickshire,52.50,-1.47
hill top,sandwell,52.53,-2.01
hill top,warwickshire,52.50,-1.57
hilltop,buckinghamshire,51.70,-0.61
hill top,durham,54.61,-2.01
hill top,durham,54.79,-1.67
hill top,durham,54.88,-1.75
hill top,bradford,53.79,-1.86
hill top,leeds,53.80,-1.62
hill top,north yorkshire,54.05,-1.6
hill top,north yorkshire,54.04,-1.71
hill top,barnsley,53.54,-1.59
hill top,sheffield,53.39,-1.58
hill top,salford,53.52,-2.4
hill top,sheffield,53.42,-1.41
hill top,rotherham,53.46,-1.26
hill top,derbyshire,53.28,-1.47
hill top,nottinghamshire,53.00,-1.3
hilltop,derbyshire,53.16,-1.49
hill top,staffordshire,52.66,-2.17
hill view,dorset,50.75,-2.02
hillview,sunderland,54.87,-1.39
hillway,isle of wight,50.67,-1.1
hill wood,birmingham,52.59,-1.82
hill wootton,warwickshire,52.30,-1.56
hillyfields,hampshire,50.93,-1.47
hilmarton,wiltshire,51.47,-1.97
hilperton,wiltshire,51.33,-2.18
hilperton marsh,wiltshire,51.33,-2.2
hiltingbury,hampshire,50.99,-1.38
hilton,dorset,50.82,-2.31
hilton,cambridgeshire,52.27,-0.12
hilton,shropshire,52.55,-2.34
hilton,durham,54.58,-1.75
hilton,cumbria,54.57,-2.41
hilton,stockton-on-tees,54.49,-1.29
hilton,derbyshire,52.86,-1.64
hilton,staffordshire,52.64,-1.88
hilton house,bolton,53.56,-2.56
hilton park,bury,53.51,-2.28
himbleton,hereford and worcester,52.22,-2.08
himley,staffordshire,52.51,-2.19
hincaster,cumbria,54.24,-2.76
hinchley wood,surrey,51.37,-0.34
hinchwick,gloucestershire,51.96,-1.79
hinckley,leicestershire,52.54,-1.38
hincknowle,dorset,50.77,-2.72
hindburn,lancashire,54.05,-2.6
hinden beck,durham,54.61,-1.96
hinderclay,suffolk,52.34,0.96
hinderton,cheshire,53.29,-3.05
hinderwell,north yorkshire,54.53,-0.78
hindford,shropshire,52.88,-2.99
hindhead,surrey,51.11,-0.74
hindle fold,lancashire,53.78,-2.41
hindley,northumberland,54.92,-1.93
hindley,wigan,53.53,-2.57
hindley green,wigan,53.52,-2.55
hindlip,hereford and worcester,52.22,-2.19
hindolveston,norfolk,52.82,1.01
hindon,wiltshire,51.08,-2.12
hindpool,cumbria,54.11,-3.24
hindringham,norfolk,52.88,0.94
hindsford,wigan,53.51,-2.48
hingham,norfolk,52.57,0.98
hinstock,shropshire,52.83,-2.46
hintlesham,suffolk,52.04,1.03
hinton,somerset,50.97,-2.61
hinton,hampshire,50.75,-1.71
hinton,northamptonshire,52.16,-1.22
hinton,hereford and worcester,52.03,-2.97
hinton,gloucestershire,51.72,-2.46
hinton,shropshire,52.66,-2.88
hinton ampner,hampshire,51.03,-1.15
